"probe_id","gene_symbol","gene_name","gene_id"
"ILMN_1651708","RESP18","regulated endocrine specific protein 18","389075"
"ILMN_1651710","IQCD","IQ motif containing D","115811"
"ILMN_1651711","","",""
"ILMN_1651712","RBM11","RNA binding motif protein 11","54033"
"ILMN_1651715","RNF2","ring finger protein 2","6045"
"ILMN_1651719","MBTPS1","membrane bound transcription factor peptidase, site 1","8720"
"ILMN_1651727","","",""
"ILMN_1651735","TGOLN2","trans-golgi network protein 2","10618"
"ILMN_1651737","","",""
"ILMN_1651745","TMEM25","transmembrane protein 25","84866"
"ILMN_1651758","","",""
"ILMN_1651760","","",""
"ILMN_1651763","TFDP3","transcription factor Dp family member 3","51270"
"ILMN_1651767","MKL1","megakaryoblastic leukemia (translocation) 1","57591"
"ILMN_1651771","RRAGB","Ras related GTP binding B","10325"
"ILMN_1651776","FHOD1","formin homology 2 domain containing 1","29109"
"ILMN_1651788","MAP3K11","mitogen-activated protein kinase kinase kinase 11","4296"
"ILMN_1651799","SLC38A2","solute carrier family 38 member 2","54407"
"ILMN_1651806","","",""
"ILMN_1651811","","",""
"ILMN_1651819","GALNT11","polypeptide N-acetylgalactosaminyltransferase 11","63917"
"ILMN_1651826","BASP1","brain abundant membrane attached signal protein 1","10409"
"ILMN_1651832","EHD1","EH domain containing 1","10938"
"ILMN_1651838","RND1","Rho family GTPase 1","27289"
"ILMN_1651848","ITSN1","intersectin 1","6453"
"ILMN_1651850","RPS16","ribosomal protein S16","6217"
"ILMN_1651872","UBIAD1","UbiA prenyltransferase domain containing 1","29914"
"ILMN_1651886","CWF19L1","CWF19-like 1, cell cycle control (S. pombe)","55280"
"ILMN_1651899","","",""
"ILMN_1651900","KCNA4","potassium voltage-gated channel subfamily A member 4","3739"
"ILMN_1651902","RASL11A","RAS like family 11 member A","387496"
"ILMN_1651903","","",""
"ILMN_1651913","","",""
"ILMN_1651936","KMT5A","lysine methyltransferase 5A","387893"
"ILMN_1651938","EML6","echinoderm microtubule associated protein like 6","400954"
"ILMN_1651940","OR6C76","olfactory receptor family 6 subfamily C member 76","390326"
"ILMN_1651943","ANK3","ankyrin 3, node of Ranvier (ankyrin G)","288"
"ILMN_1651944","CTNND1","catenin delta 1","1500"
"ILMN_1651950","TPST1","tyrosylprotein sulfotransferase 1","8460"
"ILMN_1651958","MGP","matrix Gla protein","4256"
"ILMN_1651967","TP53I3","tumor protein p53 inducible protein 3","9540"
"ILMN_1651980","GOLGA6L1","golgin A6 family-like 1","283767"
"ILMN_1651984","","",""
"ILMN_1651987","CCDC167","coiled-coil domain containing 167","154467"
"ILMN_1652003","GNG10","G protein subunit gamma 10","2790"
"ILMN_1652006","SMC1A","structural maintenance of chromosomes 1A","8243"
"ILMN_1652008","KNSTRN","kinetochore localized astrin/SPAG5 binding protein","90417"
"ILMN_1652015","","",""
"ILMN_1652017","PPEF1","protein phosphatase with EF-hand domain 1","5475"
"ILMN_1652037","UPP2","uridine phosphorylase 2","151531"
"ILMN_1652065","KCNMB1","potassium calcium-activated channel subfamily M regulatory beta subunit 1","3779"
"ILMN_1652072","NIM1K","NIM1 serine/threonine protein kinase","167359"
"ILMN_1652073","","",""
"ILMN_1652079","","",""
"ILMN_1652081","","",""
"ILMN_1652082","ELF4","E74 like ETS transcription factor 4","2000"
"ILMN_1652085","MPHOSPH10","M-phase phosphoprotein 10","10199"
"ILMN_1652088","PAPOLB","poly(A) polymerase beta","56903"
"ILMN_1652098","","",""
"ILMN_1652104","KRAS","KRAS proto-oncogene, GTPase","3845"
"ILMN_1652113","","",""
"ILMN_1652123","HMGN1","high mobility group nucleosome binding domain 1","3150"
"ILMN_1652128","LMBRD1","LMBR1 domain containing 1","55788"
"ILMN_1652132","","",""
"ILMN_1652137","NPY4R","neuropeptide Y receptor Y4","5540"
"ILMN_1652144","","",""
"ILMN_1652151","","",""
"ILMN_1652163","DVL2","dishevelled segment polarity protein 2","1856"
"ILMN_1652164","","",""
"ILMN_1652166","","",""
"ILMN_1652178","","",""
"ILMN_1652196","CTAG1A","cancer/testis antigen 1A","246100"
"ILMN_1652199","","",""
"ILMN_1652205","","",""
"ILMN_1652206","","",""
"ILMN_1652207","COX4I1","cytochrome c oxidase subunit 4I1","1327"
"ILMN_1652209","","",""
"ILMN_1652215","","",""
"ILMN_1652219","NOL4L","nucleolar protein 4 like","140688"
"ILMN_1652223","WDR91","WD repeat domain 91","29062"
"ILMN_1652230","","",""
"ILMN_1652236","","",""
"ILMN_1652237","CBR3","carbonyl reductase 3","874"
"ILMN_1652242","","",""
"ILMN_1652244","POPDC3","popeye domain containing 3","64208"
"ILMN_1652254","","",""
"ILMN_1652259","","",""
"ILMN_1652277","SECTM1","secreted and transmembrane 1","6398"
"ILMN_1652287","NOG","noggin","9241"
"ILMN_1652300","ZNF507","zinc finger protein 507","22847"
"ILMN_1652306","MEGF10","multiple EGF like domains 10","84466"
"ILMN_1652309","TTC8","tetratricopeptide repeat domain 8","123016"
"ILMN_1652313","RNF215","ring finger protein 215","200312"
"ILMN_1652314","SPAG1","sperm associated antigen 1","6674"
"ILMN_1652319","","",""
"ILMN_1652331","KCTD5","potassium channel tetramerization domain containing 5","54442"
"ILMN_1652333","FN3KRP","fructosamine 3 kinase related protein","79672"
"ILMN_1652342","","",""
"ILMN_1652343","","",""
"ILMN_1652348","","",""
"ILMN_1652357","PDHX","pyruvate dehydrogenase complex component X","8050"
"ILMN_1652368","","",""
"ILMN_1652371","KIAA1324L","KIAA1324 like","222223"
"ILMN_1652376","IFNA17","interferon alpha 17","3451"
"ILMN_1652378","IPO7","importin 7","10527"
"ILMN_1652379","SUCLG2","succinate-CoA ligase GDP-forming beta subunit","8801"
"ILMN_1652394","RAB2A","RAB2A, member RAS oncogene family","5862"
"ILMN_1652397","TRPT1","tRNA phosphotransferase 1","83707"
"ILMN_1652409","SPATA7","spermatogenesis associated 7","55812"
"ILMN_1652412","PHKB","phosphorylase kinase regulatory subunit beta","5257"
"ILMN_1652413","UCN2","urocortin 2","90226"
"ILMN_1652417","","",""
"ILMN_1652429","","",""
"ILMN_1652430","","",""
"ILMN_1652431","CA1","carbonic anhydrase 1","759"
"ILMN_1652434","","",""
"ILMN_1652436","","",""
"ILMN_1652450","","",""
"ILMN_1652456","TMEM98","transmembrane protein 98","26022"
"ILMN_1652459","","",""
"ILMN_1652464","TUBA3E","tubulin alpha 3e","112714"
"ILMN_1652465","SLC26A4","solute carrier family 26 member 4","5172"
"ILMN_1652466","","",""
"ILMN_1652469","","",""
"ILMN_1652472","BRAF","B-Raf proto-oncogene, serine/threonine kinase","673"
"ILMN_1652488","","",""
"ILMN_1652494","TCAF2","TRPM8 channel associated factor 2","285966"
"ILMN_1652505","APEX2","apurinic/apyrimidinic endodeoxyribonuclease 2","27301"
"ILMN_1652507","","",""
"ILMN_1652512","C2CD2","C2 calcium dependent domain containing 2","25966"
"ILMN_1652521","MTMR9","myotubularin related protein 9","66036"
"ILMN_1652527","","",""
"ILMN_1652533","","",""
"ILMN_1652540","RELL2","RELT like 2","285613"
"ILMN_1652550","","",""
"ILMN_1652574","","",""
"ILMN_1652577","","",""
"ILMN_1652578","TSHB","thyroid stimulating hormone beta","7252"
"ILMN_1652580","POLD1","DAN polymerase delta 1, catalytic subunit","5424"
"ILMN_1652594","ACTR5","ARP5 actin-related protein 5 homolog","79913"
"ILMN_1652602","LMNTD2","lamin tail domain containing 2","256329"
"ILMN_1652611","","",""
"ILMN_1652631","GLIPR2","GLI pathogenesis related 2","152007"
"ILMN_1652638","LRRC58","leucine rich repeat containing 58","116064"
"ILMN_1652639","","",""
"ILMN_1652646","","",""
"ILMN_1652649","","",""
"ILMN_1652660","","",""
"ILMN_1652666","","",""
"ILMN_1652670","PRAMEF1","PRAME family member 1","65121"
"ILMN_1652680","","",""
"ILMN_1652685","","",""
"ILMN_1652687","TMEM198B","transmembrane protein 198B (pseudogene)","440104"
"ILMN_1652693","SHH","sonic hedgehog","6469"
"ILMN_1652694","FAM131B","family with sequence similarity 131 member B","9715"
"ILMN_1652700","","",""
"ILMN_1652701","","",""
"ILMN_1652711","","",""
"ILMN_1652715","C10orf111","chromosome 10 open reading frame 111","221060"
"ILMN_1652716","ERI1","exoribonuclease 1","90459"
"ILMN_1652719","TMCO5A","transmembrane and coiled-coil domains 5A","145942"
"ILMN_1652722","C14orf2","chromosome 14 open reading frame 2","9556"
"ILMN_1652729","ANK2","ankyrin 2, neuronal","287"
"ILMN_1652737","","",""
"ILMN_1652740","","",""
"ILMN_1652745","","",""
"ILMN_1652747","","",""
"ILMN_1652749","ERF","ETS2 repressor factor","2077"
"ILMN_1652753","PAAF1","proteasomal ATPase associated factor 1","80227"
"ILMN_1652754","ZNF428","zinc finger protein 428","126299"
"ILMN_1652756","","",""
"ILMN_1652758","","",""
"ILMN_1652762","HIC2","hypermethylated in cancer 2","23119"
"ILMN_1652763","","",""
"ILMN_1652777","CDC42EP2","CDC42 effector protein 2","10435"
"ILMN_1652780","TMOD2","tropomodulin 2","29767"
"ILMN_1652784","","",""
"ILMN_1652786","","",""
"ILMN_1652787","PIK3AP1","phosphoinositide-3-kinase adaptor protein 1","118788"
"ILMN_1652797","FAM174B","family with sequence similarity 174 member B","400451"
"ILMN_1652799","","",""
"ILMN_1652806","ATP5J","ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6","522"
"ILMN_1652808","","",""
"ILMN_1652825","IL10RA","interleukin 10 receptor subunit alpha","3587"
"ILMN_1652826","LRRC17","leucine rich repeat containing 17","10234"
"ILMN_1652854","","",""
"ILMN_1652857","SLC15A1","solute carrier family 15 member 1","6564"
"ILMN_1652866","LMX1B","LIM homeobox transcription factor 1 beta","4010"
"ILMN_1652871","PLSCR5","phospholipid scramblase family member 5","389158"
"ILMN_1652872","UBOX5","U-box domain containing 5","22888"
"ILMN_1652876","","",""
"ILMN_1652906","GBGT1","globoside alpha-1,3-N-acetylgalactosaminyltransferase 1","26301"
"ILMN_1652907","CDC5L","cell division cycle 5 like","988"
"ILMN_1652918","RHOF","ras homolog family member F, filopodia associated","54509"
"ILMN_1652927","","",""
"ILMN_1652928","ORAI2","ORAI calcium release-activated calcium modulator 2","80228"
"ILMN_1652931","CLDN25","claudin 25","644672"
"ILMN_1652938","PRRG3","proline rich and Gla domain 3","79057"
"ILMN_1652939","SPATA31A1","SPATA31 subfamily A member 1","647060"
"ILMN_1652940","TUBA3FP","tubulin alpha 3f pseudogene","113691"
"ILMN_1652946","VSTM5","V-set and transmembrane domain containing 5","387804"
"ILMN_1652955","","",""
"ILMN_1652963","C1orf194","chromosome 1 open reading frame 194","127003"
"ILMN_1652967","","",""
"ILMN_1652969","ZNF479","zinc finger protein 479","90827"
"ILMN_1652975","DLK1","delta like non-canonical Notch ligand 1","8788"
"ILMN_1652977","","",""
"ILMN_1652989","NUP160","nucleoporin 160","23279"
"ILMN_1652990","","",""
"ILMN_1652991","NBPF10","neuroblastoma breakpoint family member 10","100132406"
"ILMN_1652998","HIST1H2BL","histone cluster 1, H2bl","8340"
"ILMN_1653001","CABLES1","Cdk5 and Abl enzyme substrate 1","91768"
"ILMN_1653028","COL4A1","collagen type IV alpha 1 chain","1282"
"ILMN_1653031","","",""
"ILMN_1653033","","",""
"ILMN_1653039","","",""
"ILMN_1653040","PCDHGA12","protocadherin gamma subfamily A, 12","26025"
"ILMN_1653042","HSD3B7","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7","80270"
"ILMN_1653043","","",""
"ILMN_1653055","SOX3","SRY-box 3","6658"
"ILMN_1653073","OR10Q1","olfactory receptor family 10 subfamily Q member 1","219960"
"ILMN_1653077","","",""
"ILMN_1653092","","",""
"ILMN_1653102","BICDL1","BICD family like cargo adaptor 1","92558"
"ILMN_1653103","CNBD2","cyclic nucleotide binding domain containing 2","140894"
"ILMN_1653115","ECH1","enoyl-CoA hydratase 1","1891"
"ILMN_1653120","ST6GAL1","ST6 beta-galactoside alpha-2,6-sialyltransferase 1","6480"
"ILMN_1653125","PER1","period circadian clock 1","5187"
"ILMN_1653129","CSTF2","cleavage stimulation factor subunit 2","1478"
"ILMN_1653133","SH3D19","SH3 domain containing 19","152503"
"ILMN_1653134","CNEP1R1","CTD nuclear envelope phosphatase 1 regulatory subunit 1","255919"
"ILMN_1653142","","",""
"ILMN_1653146","MSH4","mutS homolog 4","4438"
"ILMN_1653150","","",""
"ILMN_1653155","C2CD4C","C2 calcium dependent domain containing 4C","126567"
"ILMN_1653158","DPRX","divergent-paired related homeobox","503834"
"ILMN_1653161","SNCG","synuclein gamma","6623"
"ILMN_1653165","AAMP","angio associated migratory cell protein","14"
"ILMN_1653180","TPM4","tropomyosin 4","7171"
"ILMN_1653182","","",""
"ILMN_1653189","GTF2I","general transcription factor IIi","2969"
"ILMN_1653193","","",""
"ILMN_1653198","","",""
"ILMN_1653200","SLC22A17","solute carrier family 22 member 17","51310"
"ILMN_1653202","","",""
"ILMN_1653203","EFEMP2","EGF containing fibulin like extracellular matrix protein 2","30008"
"ILMN_1653205","C8orf59","chromosome 8 open reading frame 59","401466"
"ILMN_1653211","ATP1B4","ATPase Na+/K+ transporting family member beta 4","23439"
"ILMN_1653220","PITPNM1","phosphatidylinositol transfer protein membrane associated 1","9600"
"ILMN_1653228","C3orf22","chromosome 3 open reading frame 22","152065"
"ILMN_1653240","","",""
"ILMN_1653251","HIST1H1B","histone cluster 1, H1b","3009"
"ILMN_1653263","GPRIN1","G protein regulated inducer of neurite outgrowth 1","114787"
"ILMN_1653267","GPR26","G protein-coupled receptor 26","2849"
"ILMN_1653274","NUDT10","nudix hydrolase 10","170685"
"ILMN_1653276","","",""
"ILMN_1653278","","",""
"ILMN_1653282","LCE2A","late cornified envelope 2A","353139"
"ILMN_1653286","","",""
"ILMN_1653292","PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","5210"
"ILMN_1653310","ZNF580","zinc finger protein 580","51157"
"ILMN_1653314","","",""
"ILMN_1653319","MC1R","melanocortin 1 receptor","4157"
"ILMN_1653324","IL22RA2","interleukin 22 receptor subunit alpha 2","116379"
"ILMN_1653342","DUS1L","dihydrouridine synthase 1 like","64118"
"ILMN_1653347","","",""
"ILMN_1653352","","",""
"ILMN_1653355","","",""
"ILMN_1653358","FUT3","fucosyltransferase 3 (Lewis blood group)","2525"
"ILMN_1653367","TAF12","TATA-box binding protein associated factor 12","6883"
"ILMN_1653368","","",""
"ILMN_1653369","","",""
"ILMN_1653372","ATP8B3","ATPase phospholipid transporting 8B3","148229"
"ILMN_1653376","FAM171B","family with sequence similarity 171 member B","165215"
"ILMN_1653378","","",""
"ILMN_1653385","KIF3A","kinesin family member 3A","11127"
"ILMN_1653386","SULT6B1","sulfotransferase family 6B member 1","391365"
"ILMN_1653394","","",""
"ILMN_1653410","","",""
"ILMN_1653412","RAX2","retina and anterior neural fold homeobox 2","84839"
"ILMN_1653415","SPANXA2","SPANX family member A2","728712"
"ILMN_1653420","","",""
"ILMN_1653429","SLC35A3","solute carrier family 35 member A3","23443"
"ILMN_1653432","HNRNPDL","heterogeneous nuclear ribonucleoprotein D like","9987"
"ILMN_1653437","","",""
"ILMN_1653438","","",""
"ILMN_1653447","PSORS1C2","psoriasis susceptibility 1 candidate 2","170680"
"ILMN_1653453","MID1","midline 1","4281"
"ILMN_1653458","","",""
"ILMN_1653461","CCSER1","coiled-coil serine rich protein 1","401145"
"ILMN_1653463","SULT1C3","sulfotransferase family 1C member 3","442038"
"ILMN_1653466","HES4","hes family bHLH transcription factor 4","57801"
"ILMN_1653469","RPL12","ribosomal protein L12","6136"
"ILMN_1653470","KLC2","kinesin light chain 2","64837"
"ILMN_1653471","CDY1","chromodomain Y-linked 1","9085"
"ILMN_1653480","CCDC125","coiled-coil domain containing 125","202243"
"ILMN_1653494","S100A1","S100 calcium binding protein A1","6271"
"ILMN_1653496","GLUL","glutamate-ammonia ligase","2752"
"ILMN_1653498","IGSF6","immunoglobulin superfamily member 6","10261"
"ILMN_1653500","","",""
"ILMN_1653501","SEMA3B","semaphorin 3B","7869"
"ILMN_1653504","S1PR1","sphingosine-1-phosphate receptor 1","1901"
"ILMN_1653506","","",""
"ILMN_1653514","RBBP4","RB binding protein 4, chromatin remodeling factor","5928"
"ILMN_1653524","SIKE1","suppressor of IKBKE 1","80143"
"ILMN_1653527","","",""
"ILMN_1653529","TEX10","testis expressed 10","54881"
"ILMN_1653553","","",""
"ILMN_1653566","","",""
"ILMN_1653567","","",""
"ILMN_1653572","","",""
"ILMN_1653573","","",""
"ILMN_1653579","","",""
"ILMN_1653583","","",""
"ILMN_1653591","TRIM40","tripartite motif containing 40","135644"
"ILMN_1653603","","",""
"ILMN_1653612","KCTD9","potassium channel tetramerization domain containing 9","54793"
"ILMN_1653615","DENND6A","DENN domain containing 6A","201627"
"ILMN_1653618","ZZZ3","zinc finger ZZ-type containing 3","26009"
"ILMN_1653628","","",""
"ILMN_1653636","","",""
"ILMN_1653646","UBL7","ubiquitin like 7","84993"
"ILMN_1653648","GPR63","G protein-coupled receptor 63","81491"
"ILMN_1653650","","",""
"ILMN_1653667","","",""
"ILMN_1653670","CUL3","cullin 3","8452"
"ILMN_1653678","DTX4","deltex E3 ubiquitin ligase 4","23220"
"ILMN_1653709","TIMM9","translocase of inner mitochondrial membrane 9","26520"
"ILMN_1653711","FZD2","frizzled class receptor 2","2535"
"ILMN_1653712","UAP1L1","UDP-N-acetylglucosamine pyrophosphorylase 1 like 1","91373"
"ILMN_1653716","","",""
"ILMN_1653718","ZFAND2B","zinc finger AN1-type containing 2B","130617"
"ILMN_1653719","ITGBL1","integrin subunit beta like 1","9358"
"ILMN_1653724","","",""
"ILMN_1653728","ERBB4","erb-b2 receptor tyrosine kinase 4","2066"
"ILMN_1653730","OXCT2","3-oxoacid CoA-transferase 2","64064"
"ILMN_1653738","INTS4","integrator complex subunit 4","92105"
"ILMN_1653742","","",""
"ILMN_1653744","","",""
"ILMN_1653745","","",""
"ILMN_1653750","SOX10","SRY-box 10","6663"
"ILMN_1653760","","",""
"ILMN_1653762","NRSN1","neurensin 1","140767"
"ILMN_1653766","CCL24","C-C motif chemokine ligand 24","6369"
"ILMN_1653768","","",""
"ILMN_1653771","WDR63","WD repeat domain 63","126820"
"ILMN_1653786","","",""
"ILMN_1653787","","",""
"ILMN_1653788","RNF208","ring finger protein 208","727800"
"ILMN_1653794","SNHG5","small nucleolar RNA host gene 5","387066"
"ILMN_1653807","","",""
"ILMN_1653814","HBBP1","hemoglobin subunit beta pseudogene 1","3044"
"ILMN_1653822","NEK2","NIMA related kinase 2","4751"
"ILMN_1653826","FGF13","fibroblast growth factor 13","2258"
"ILMN_1653828","CHFR","checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase","55743"
"ILMN_1653829","","",""
"ILMN_1653833","","",""
"ILMN_1653834","OGFOD1","2-oxoglutarate and iron dependent oxygenase domain containing 1","55239"
"ILMN_1653836","KIAA1549L","KIAA1549 like","25758"
"ILMN_1653846","","",""
"ILMN_1653856","UBASH3B","ubiquitin associated and SH3 domain containing B","84959"
"ILMN_1653864","","",""
"ILMN_1653865","","",""
"ILMN_1653879","NPTX1","neuronal pentraxin 1","4884"
"ILMN_1653896","ATRIP","ATR interacting protein","84126"
"ILMN_1653904","","",""
"ILMN_1653910","","",""
"ILMN_1653927","SNORD83A","small nucleolar RNA, C/D box 83A","116937"
"ILMN_1653945","","",""
"ILMN_1653980","METTL8","methyltransferase like 8","79828"
"ILMN_1653991","","",""
"ILMN_1653995","","",""
"ILMN_1654001","SMC6","structural maintenance of chromosomes 6","79677"
"ILMN_1654013","HID1","HID1 domain containing","283987"
"ILMN_1654016","MYL12B","myosin light chain 12B","103910"
"ILMN_1654031","TPTE2","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2","93492"
"ILMN_1654032","ZER1","zyg-11 related cell cycle regulator","10444"
"ILMN_1654043","","",""
"ILMN_1654049","","",""
"ILMN_1654056","","",""
"ILMN_1654064","","",""
"ILMN_1654065","ATOH8","atonal bHLH transcription factor 8","84913"
"ILMN_1654068","NUDT1","nudix hydrolase 1","4521"
"ILMN_1654072","CX3CL1","C-X3-C motif chemokine ligand 1","6376"
"ILMN_1654073","","",""
"ILMN_1654099","LRIG2","leucine rich repeats and immunoglobulin like domains 2","9860"
"ILMN_1654108","","",""
"ILMN_1654118","BCL2L1","BCL2 like 1","598"
"ILMN_1654137","","",""
"ILMN_1654141","ZDHHC20","zinc finger DHHC-type containing 20","253832"
"ILMN_1654151","COX6C","cytochrome c oxidase subunit 6C","1345"
"ILMN_1654170","HERC2P2","hect domain and RLD 2 pseudogene 2","400322"
"ILMN_1654171","","",""
"ILMN_1654185","","",""
"ILMN_1654187","","",""
"ILMN_1654204","DNAJC5B","DnaJ heat shock protein family (Hsp40) member C5 beta","85479"
"ILMN_1654210","CD1C","CD1c molecule","911"
"ILMN_1654212","DOK7","docking protein 7","285489"
"ILMN_1654217","MPP2","membrane palmitoylated protein 2","4355"
"ILMN_1654226","","",""
"ILMN_1654228","PCDHGA3","protocadherin gamma subfamily A, 3","56112"
"ILMN_1654240","TAF1","TATA-box binding protein associated factor 1","6872"
"ILMN_1654246","SIRT6","sirtuin 6","51548"
"ILMN_1654249","","",""
"ILMN_1654262","ZMAT3","zinc finger matrin-type 3","64393"
"ILMN_1654279","","",""
"ILMN_1654287","ADCY9","adenylate cyclase 9","115"
"ILMN_1654288","","",""
"ILMN_1654289","ELK1","ELK1, ETS transcription factor","2002"
"ILMN_1654313","","",""
"ILMN_1654317","","",""
"ILMN_1654318","PTPN23","protein tyrosine phosphatase, non-receptor type 23","25930"
"ILMN_1654319","HAPLN3","hyaluronan and proteoglycan link protein 3","145864"
"ILMN_1654320","","",""
"ILMN_1654323","UBE3A","ubiquitin protein ligase E3A","7337"
"ILMN_1654324","HEYL","hes related family bHLH transcription factor with YRPW motif-like","26508"
"ILMN_1654331","HOXB4","homeobox B4","3214"
"ILMN_1654336","","",""
"ILMN_1654346","","",""
"ILMN_1654357","ZNF24","zinc finger protein 24","7572"
"ILMN_1654365","","",""
"ILMN_1654369","","",""
"ILMN_1654370","TESK2","testis-specific kinase 2","10420"
"ILMN_1654378","","",""
"ILMN_1654385","ASB13","ankyrin repeat and SOCS box containing 13","79754"
"ILMN_1654386","","",""
"ILMN_1654389","","",""
"ILMN_1654392","KHNYN","KH and NYN domain containing","23351"
"ILMN_1654394","","",""
"ILMN_1654396","ITGB2","integrin subunit beta 2","3689"
"ILMN_1654398","RGL1","ral guanine nucleotide dissociation stimulator like 1","23179"
"ILMN_1654403","","",""
